,_merged_text
1173,yujean kang's 818-585-0855
1174,american (new)
1175,chicken
1176,3115 pico blvd.
1177,154 e. 79th st.  between lexington and 3rd aves.
1178,coffee bar
1179,ritz-carlton dining room (san francisco) 415-296-7465
1180,vong 212/486-9592
1181,2930 beverly glen circle
1182,french bistro
1183,gotham bar & grill 212-620-4020
1184,99 e. 52nd st.
1185,129 fremont st.
1186,90 prince st.  between broadway and mercer st.
1187,middle eastern
1188,310 n. larchmont blvd.
1189,bistango 404/724-0901
1190,cava 213/658-8898
1191,japanese
1192,bobby & june's kountry kitchen 404-876-3872
1193,mi cocina 212-627-8273
1194,continental
1195,102 fifth ave.
1196,cafe con leche 212-595-7000
1197,1021 cobb pkwy. se
1198,2020 ave. of the stars
1199,hsu's gourmet 404/659-2788
1200,gladstone's 310/454-3474
1201,steakhouses
1202,greenwood's 770-992-5383
1203,1350 e. flamingo rd.
1204,golden nugget hotel 702/385-7111
1205,mediterranean
1206,john's pizzeria 212-721-7001
1207,nate 'n' al's 310/274-0101
1208,790 ponce de leon ave.
1209,polish
1210,5111 w. boulder hwy.
1211,2223 415/431-0692
1212,coffee bar
1213,cafe botanica 212/484-5120
1214,italian
1215,432 lafayette st.  near astor pl.
1216,56 gold st.
1217,southern
1218,246 w. 4th st. at charles st.
1219,chevys 415/543-8060
1220,2141 polk st.
1221,spanish
1222,capsouto freres 212/966-4900
1223,greek and middle eastern
1224,411 park ave. s  between 28th and 29th sts.
1225,american
1226,160 e. 48th st.
1227,helmand 415/362-0641
1228,624 s. la brea ave.
1229,japanese
1230,dean & deluca 212/254-8776
1231,108 south park
1232,the heights 415/474-8890
1233,seafood
1234,diners
1235,fifty seven fifty seven 212/758-5757
1236,670 golden gate ave.
1237,french (new)
1238,latin american
1239,delis
1240,350 9th ave. at 49th st.
1241,1433 third st. promenade
1242,cafe blanc 310-888-0108
1243,chanterelle 212-966-6960
1244,french (classic)
1245,californian
1246,american
1247,200 e. 54th st.
1248,italian
1249,annie's thai castle 404/264-9546
1250,700 w. fifth st.
1251,italian
1252,jody maroni's sausage kingdom 310-306-1995
1253,lespinasse (new york city) 212-339-6719
1254,mavalli palace 212/679-5535
1255,japanese
1256,155 w. 58th st.
1257,water grill 213-891-0900
1258,375 14th st.
1259,1100 peachtree st.
1260,asian
1261,134 n. la cienega
1262,dante's down the hatch 404/577-1800
1263,dynasty room 310/208-8765
1264,river cafe 718-522-5200
1265,424 amsterdam ave.
1266,pacifica 212/941-4168
1267,american
1268,30 rockefeller plaza
1269,good enough to eat 212-496-0163
1270,192 peachtree center ave.  at international blvd.
1271,american
1272,4500 los feliz blvd.
1273,le colonial 310/289-0660
1274,1087 green st.
1275,bbq
1276,129 e. fremont st.
1277,le montrachet bistro 702-732-5651
1278,italian
1279,48 w. 65th st.
1280,3799 las vegas blvd. s.
1281,marnie's noodle shop 212-741-3214
1282,mexican
1283,prego 310/277-7346
1284,3rd st. promenade
1285,american (new)
1286,2223 market st.
1287,italian
1288,cafe adriano 415/474-4180
1289,160 central park s
1290,american
1291,sam's noodle shop 212-213-2288
1292,italian
1293,italian
1294,4th and howard sts.
1295,asian
1296,greens 415/771-6222
1297,451 washington st.  near watts st.
1298,coco pazzo 212/794-0205
1299,coffee bar
1300,430 broadway
1301,coffee shops/diners
1302,katia's 415/668-9292
1303,121 prince st.
1304,californian
1305,ernie's 212/496-1588
1306,3235 sacramento st.
1307,american
1308,nava 404-240-1984
1309,palm  the (los angeles) 310-550-8811
1310,57 e. 57th st.
1311,mediterranean
1312,follonico 212/691-6359
1313,brent's deli 818-886-5679
1314,american
1315,french bistro
1316,white house restaurant 404-237-7601
1317,mexican/tex-mex
1318,french
1319,9777 little santa monica blvd.
1320,russian
1321,gumbo pot  the 213-933-0358
1322,italian
1323,manila garden 212/777-6314
1324,diners
1325,3195 roswell rd.
1326,american
1327,american
1328,2011 ocean front walk
1329,park avenue cafe (new york city) 212-644-1900
1330,koo koo roo 213-655-9045
1331,american (new)
1332,46 e. 29th st.
1333,newsbar 212/255-3996
1334,544 s. grand ave.
1335,desserts
1336,55 e. 54th st.
1337,underground underground mall  underground atlanta
1338,coffee bar
1339,439 n. beverly drive
1340,uncle nick's 212-245-7992
1341,american (new)
1342,138 lafayette st.  between canal and howard sts.
1343,persepolis 212/535-1100
1344,483 amsterdam ave.
1345,kuruma zushi 212-317-2802
1346,central park west
1347,asian
1348,ukrainian
1349,orleans 310/479-4187
1350,10001 riverside dr.
1351,thai
1352,brasserie le coze 404-266-1440
1353,mediterranean
1354,466 hudson st.
1355,palm 212-687-2953
1356,3130 piedmont rd. ne
1357,coffee bar
1358,mexican
1359,7313 melrose ave.
1360,tavola calda 213/658-6340
1361,chinese
1362,3347 fillmore st.
1363,continental
1364,411 third ave.
1365,teresa's 718-520-2910
1366,3434 peachtree rd. ne
1367,italian
1368,alley's end 212/627-8899
1369,sandwiches
1370,bldg. a fort mason
1371,italian
1372,hyde street bistro 415/441-7778
1373,23 e. 74th st.
1374,mckinnon's louisiane 404/237-1313
1375,southern/soul
1376,la fonda latina 404-303-8201
1377,600 5th ave.
1378,american
1379,katsu 213-665-1891
1380,maykadeh 415/362-8286
1381,2150 broadway  between 75th and 76th sts.
1382,vietnamese
1383,firehouse 212/595-3139
1384,latin american
1385,3060 peachtree rd.
1386,soto 404-233-2005
1387,only in las vegas
1388,6 w. 24th st.
1389,american
1390,gianni's 212/608-7300
1391,19565 parthenia ave.
1392,middle eastern
1393,3172 peachtree rd. ne
1394,dottie's true blue cafe 415-885-2767
1395,coffee bar
1396,inca grill 212/966-3371
1397,6333 w. third st.
1398,italian
1399,johnnie's pastrami 310-397-6654
1400,chinese
1401,325 e. 14th st.  between 1st and 2nd aves.
1402,seafood
1403,diners
1404,8393 w. beverly blvd.
1405,greek and middle eastern
1406,steakhouses
1407,martha's 310-376-7786
1408,2 w. 19th st.
1409,parioli romanissimo 212/288-2391
1410,american
1411,southern/soul
1412,greek and middle eastern
1413,steak house  the 702-734-0410
1414,r-23 213-687-7178
1415,1423 2nd ave.  between 74th and 75th sts.
1416,republic 212/627-7172
1417,2nd fl.
1418,200 e. fremont st.
1419,american
1420,3110 main st.
1421,restaurant horikawa 213/680-9355
1422,italian
1423,la grotta 404-231-1368
1424,californian
1425,sfuzzi 212/873-3700
1426,837 second ave.
1427,1397 n. highland ave.
1428,stick to your ribs 718-937-3030
1429,and 212/614-9345 asian
1430,caribbean
1431,322 e. 14 st.  between 1st and 2nd aves.
1432,9 jones street 212/989-1220
1433,steakhouses
1434,campton place 415-955-5555
1435,80 montague st.
1436,7 claude ln.
1437,zarela 212-644-6740
1438,228 8th ave.  between 21st and 22nd sts.
1439,la grotta at ravinia dunwoody rd. 770/395-9925
1440,american
1441,barbetta 212/246-9171
1442,american (new)
1443,1521 hyde st.
1444,coffee shops/diners
1445,l'osteria del forno 415/982-1124
1446,indian
1447,nicky blair's 702-792-9900
1448,3209 maple dr.
1449,sa tsu ki 404/325-5285
1450,4427 roswell rd.
1451,cafe bianco 212/988-2655
1452,indian
1453,470 green st.
1454,mexican
1455,522 columbus ave.  between 85th and 86th sts.
1456,french roast cafe 212/799-1533
1457,binion's coffee shop 702/382-1600
1458,3330 piedmont rd.
1459,cafe flore 415-621-8579
1460,french
1461,pizza
1462,15 fulton st.
1463,french
1464,home 212/243-9579
1465,american
1466,522 jones st.
1467,la mediterranee 415-431-7210
1468,492 broome st.  near w. broadway
1469,french
1470,judson grill 212/582-5252
1471,4017 s. sepulveda blvd.
1472,italian
1473,la serenata de garibaldi 213-265-2887
1474,ti couz 415-252-7373
1475,le madri 212/727-8022
1476,22nd street grill 25 22nd
1477,italian
1478,southwestern
1479,original pantry bakery 213-627-6879
1480,24 e. 81st st.
1481,popover cafe 212/595-8555
1482,rubicon 415/434-4100
1483,french (new)
1484,923 e. third st.
1485,pacific new wave
1486,delectables 404-681-2909
1487,sweet lady jane 213-653-7145
1488,37a union sq. w  between 16th and 17th sts.
1489,sant ambroeus 212/570-2211
1490,nuova cucina italian
1491,american
1492,1930 north hillhurst ave.
1493,veni vidi vici 404-875-8424
1494,58 w. 65th st.
1495,tang pavillion 212/956-6888
1496,5-16 51st ave.
1497,293-b peachtree rd.
1498,veselka 212-228-9682
1499,italian
1500,106 w. houston st.  off thompson st.
1501,anche vivolo 212/308-0112
1502,californian
1503,1001 n. alameda st.
1504,3127 fillmore st.
1505,veniero's pasticceria 212/674-7264
1506,masa's 415-989-7154
1507,953 second ave.
1508,mexican
1509,mayflower cuisinier 702-870-8432
1510,holiday inn/crowne plaza at ravinia  dunwoody
1511,tex-mex
1512,southern
1513,palisades 404/350-6755
1514,brothers bar-b-q 212/727-2775
1515,25 w. 40th st.  between 5th and 6th aves.
1516,french
1517,519 columbus ave.
1518,ca'del sol 818/985-4669
1519,3925 paradise rd.
1520,chinese
1521,alon's at the terrace 404-724-0444
1522,3043 buford hwy.
1523,antonio's 702/252-7737
1524,american
1525,steak houses
1526,2340 broadway at 85th st.
1527,deacon burton's soulfood restaurant 404-523-1929
1528,128 fremont st.
1529,center stage plaza hotel 702/386-2512
1530,2298 market st.
1531,emerald garden restaurant 415-673-1155
1532,american
1533,20 cornelia st.  between bleecker and w. 4th st.
1534,italian
1535,citrus 213-857-0034
1536,ipanema 212/730-5848
1537,art's deli 818-762-1221
1538,the bacchanal 702/731-7525
1539,288 noe st.
1540,sally's cafe & bakery 415-626-6006
1541,seafood
1542,152 w. 52nd st.
1543,italian
1544,layla 212/431-0700
1545,1842 e. first
1546,3108 16th st.
1547,caffe reggio 212/475-9557
1548,palio d'asti 415/395-9800
1549,168 w. 18th st.
1550,french
1551,mad fish 212/787-0202
1552,875 s. figueroa st. downtown
1553,mediterranean
1554,ruby's (la) 818-796-7829
1555,551 amsterdam ave.  between 86th and 87th sts.
1556,558 sacramento st.
1557,stoyanof's cafe 415/664-3664
1558,seafood
1559,8360 melrose ave.
1560,american
1561,1000 madison ave.  between 77th and 78th sts.
1562,spring street natural restaurant & bar 212/966-0290
1563,yaya cuisine 415/566-6966
1564,french (classic)
1565,barbecue
1566,californian
1567,8284 melrose ave.
1568,5937 geary blvd.
1569,65 w. 55th st.
1570,american
1571,tribeca grill 212/941-3900
1572,fringale 415-543-0573
1573,144 second ave.
1574,cafe lalo 212-496-6031
1575,continental
1576,23 e. 22nd st.
1577,health food
1578,34 e. 61st st.
1579,zen palate 212/614-9291
1580,342 e. 11th st.  near 1st ave.
1581,asian
1582,beaurivage 310/456-5733
1583,4th st.
1584,4750 w. sahara ave.
1585,greek
1586,steakhouse  the 702-382-1600
1587,1829 peachtree rd.
1588,la caravelle 212-586-4252
1589,american
1590,160 e. 64th st.
1591,659 peachtree st.
1592,2628 wilshire blvd.
1593,dining room 310/275-5200
1594,pizza
1595,canoe 770-432-2663
1596,3700 w. flamingo
1597,bugsy's diner 702/733-3111
1598,asian
1599,darbar 212-432-7227
1600,italian
1601,1029 edgewood ave. se
1602,indian
1603,indian delights 100-813-8212
1604,1 main st.
1605,margarita's mexican cantina 702/794-8200
1606,1550 california st.
1607,american
1608,american
1609,13 w. 46th st.
1610,french
1611,3570 las vegas blvd. s
1612,bistro roti 415/495-6500
1613,300 de haro st.
1614,cafe centro 212/818-1222
1615,vicolo pizzeria 415-863-2382
1616,asian
1617,211 w. broadway at franklin st.
1618,asian
1619,le select 212/875-1993
1620,119 macdougal st.  between 3rd and bleecker sts.
1621,thai
1622,chez jacqueline 212/505-0727
1623,640 sacramento st.
1624,asian
1625,scala's bistro 415/395-8555
1626,2182 broadway  between 77th and 78th sts.
1627,american
1628,45 s. fair oaks ave.
1629,californian
1630,23725 w. malibu rd.
1631,vegetarian
1632,1240 9th ave.
1633,vivande porta via 415/346-4430
1634,chinese
1635,italian
1636,chinese
1637,62 spring st. at lafayette st.
1638,american
1639,1220 9th ave.
1640,valentino 310-829-4313
1641,american (new)
1642,belvedere  the 310-788-2306
1643,american
1644,8795 sunset blvd.
1645,375 greenwich st.  near franklin st.
1646,asian
1647,vince & eddie's 212/721-0068
1648,532 columbus ave.
1649,four seasons 212-754-9494
1650,mexican
1651,hamburgers
1652,243 e. 58th st.
1653,128 e. fremont st.
1654,34 union sq. e at 16th st.
1655,asian
1656,656 n. virgil ave.
1657,bertolini's 404/233-2333
1658,canter's 213/651-2030.
1659,ukrainian
1660,mesa grill 212-807-7400
1661,american
1662,405 e. 58th st.
1663,benny's burritos 212-254-2054
1664,4199 paces ferry rd.
1665,italian
1666,8600 beverly blvd.
1667,horseradish grill 404/255-7277
1668,gilliland's 310/392-3901
1669,seafood
1670,frijoleros 404-892-8226
1671,3555 las vegas blvd. s
1672,french
1673,44 w. 56th st.
1674,joe's shanghai 718-539-3838
1675,11 e. 53rd st.
1676,morton's 310/276-5205
1677,3675 satellite blvd.
1678,chinese
1679,3120 las vegas blvd. s
1680,yolie's 702/794-0700
1681,american
1682,asian
1683,seafood
1684,155 steuart st.
1685,caribbean
1686,201 ivy st.
1687,carta 415/863-3516
1688,200 park ave.  between 45th st. and vanderbilt ave.
1689,coffeehouses
1690,caffe bondi ristorante 212/691-8136
1691,asian
1692,507 columbus ave.  between 84th and 85th sts.
1693,italian
1694,southern
1695,72 macdougal st.  between w. houston and bleecker sts.
1696,hayes street grill 415/863-5545
1697,14016 ventura blvd.
1698,coffee shops
1699,da nico 212/343-1212
1700,432 powell st.
1701,american
1702,american
1703,ferrier 212/772-9000
1704,2125 fillmore st.
1705,french (new)
1706,zuni cafe & grill 415/552-2522
1707,italian
1708,coffee shops
1709,rex il ristorante 213-627-2300
1710,hamburgers
1711,9882 little santa monica blvd.
1712,asian
1713,cafe '50s 310-399-1955
1714,french (new)
1715,desserts
1716,70 w. 68th st.
1717,middle eastern
1718,aleck's barbecue heaven 404/525-2062
1719,american (new)
1720,les celebrites 212-484-5113
1721,jiraffe 310-917-6671
1722,matthew's 212/838-4343
1723,mexican
1724,155 w. 51st st.
1725,3500 peachtree rd.  phipps plaza
1726,italian
1727,8800 melrose ave.
1728,dante's down the hatch  buckhead 404/266-1600
1729,drai's 310/358-8585
1730,rainbow room 212-632-5000
1731,french bistro
1732,otabe 212/223-7575
1733,93 ave. a
1734,95 ave. a
1735,elias corner 718-932-1510
1736,4320 powers ferry rd.
1737,american
1738,8720 sunset blvd.
1739,joss 310/276-1886
1740,1031 peachtree st. ne
1741,steakhouses
1742,coyote cafe (las vegas) 702-891-7349
1743,american
1744,9 pell st.
1745,3200 las vegas blvd. s.
1746,lombardi's 212-941-7994
1747,posto 818/784-4400
1748,japanese
1749,252 n. beverly dr.
1750,japanese
1751,3900 paradise rd.
1752,asian
1753,buca giovanni 415/776-7766
1754,italian
1755,rose of india 212-533-5011
1756,trader vic's 310/276-6345
1757,steakhouses
1758,1772 market st.
1759,barbecue
1760,grand cafe hotel monaco 415/292-0101
1761,7 w. 20th st.
1762,cite 212/956-7100
1763,320 hayes st.
1764,italian
1765,kabuto sushi 415/752-5652
1766,164 mulberry st.  between grand and broome sts.
1767,hamburgers
1768,empire korea 212/725-1333
1769,american
1770,my thai 404-636-4280
1771,matsuhisa 310-659-9639
1772,north india 415/931-1556
1773,29 e. 65th st.
1774,mexican
1775,flowers 212/691-8888
1776,1658 market st.
1777,bistro 45 818-795-2478
1778,american
1779,californian
1780,veggieland 404-231-3111
1781,thai
1782,grand ticino 212/777-5922
1783,838 lincoln blvd.
1784,american (new)
1785,feast from the east 310-475-0400
1786,french
1787,manhattan cafe 212/888-6556
1788,seafood
1789,783 martin luther king jr. dr.
1790,or 415/982-3811 asian
1791,502 santa monica blvd
1792,oceana 212-759-5941
1793,kokomo cafe 213-933-0773
1794,greek
1795,1030 3rd ave. at 61st st.
1796,new york noodletown 212/349-0923
1797,japanese
1798,3380 peachtree rd.
1799,italian
1800,10668 w. pico blvd.
1801,tavern on the green 212-873-3200
1802,french bistro
1803,mo better meatty meat 213-935-5280
1804,68 e. 56th st.
1805,penang soho 212/274-8883
1806,24-02 31st st.
1807,kiev 212-674-4040
1808,797 third ave.
1809,coffee bar
1810,ocean avenue 310/394-5669
1811,6th st.
1812,californian
1813,bone's restaurant 404-237-2663
1814,s.p.q.r 212/925-3120
1815,latin american
1816,32 spring st.
1817,3125 piedmont rd.
1818,oyster bar 212-490-6650
1819,american
1820,californian
1821,swingers 213/653-5858
1822,430 n. camden dr.
1823,asian
1824,800 greenwich st.
1825,ritz-carlton cafe (buckhead) 404-237-2700
1826,308 e. sixth st.
1827,1232 w. paces ferry rd.
1828,szechuan kitchen 212-249-4615
1829,dive american
1830,alamo 212/ 759-0590
1831,1 united nations plaza at 44th st.
1832,continental
1833,501 geary st.
1834,continental
1835,hong kong villa 415/752-8833
1836,120 w. 51st st.
1837,emeril's new orleans fish house 702-891-7374
1838,mambo restaurante cubano 404/874-2626
1839,chinese
1840,kalo's coffee house 404-325-3733
1841,5116 geary blvd.
1842,buffets
1843,manora 415/861-6224
1844,6 e. 32nd st.
1845,fiorello's roman cafe 212/595-5330
1846,coffee bar
1847,stringer's fish camp and oyster bar 770/458-7145
1848,1248 clairmont rd.
1849,silver skillet  the 404-874-1388
1850,3131 webster st.
1851,coffee shops/diners
1852,21 west 17th st.  between 5th and 6th aves.
1853,mexican
1854,gallagher's 212/245-5336
1855,45 s. mentor ave.
1856,italian
1857,220 sandy springs circle
1858,doidge's 415-921-2149
1859,228 thompson st.  between w. 3rd and bleecker sts.
1860,french
1861,il nido 212/753-8450
1862,1949 westwood blvd.
1863,french
1864,john o'groats 310-204-0692
1865,1161 1st ave.  between 63rd and 64th sts.
1866,or 212/941-0772 american
1867,mel's drive-in 415-387-2244
1868,hot dogs
1869,6333 w. third st.
1870,american
1871,steakhouses
1872,mani's bakery & espresso bar 213-938-8800
1873,28 1/2 bowery at bayard st.
1874,pamir 212/644-9258
1875,italian
1876,italian
1877,7261 melrose ave.
1878,asian
1879,poquito mas 818-563-2252
1880,second street grill 702-385-6277
1881,109 spring st.  between greene and mercer sts.
1882,remi 212/581-4242
1883,117 second ave.
1884,3570 las vegas blvd. s.
1885,italian
1886,1514 n. gower st.
1887,french (new)
1888,indigo coastal grill 404-876-0676
1889,american (new)
1890,133 mulberry st.  between hester and grand sts.
1891,seventh regiment mess and bar 212/744-4107
1892,lower level
1893,595 piedmont ave.
1894,sparks steak house 212-687-4855
1895,mediterranean
1896,mediterranean
1897,20 mott 212/964-0380
1898,700 5th ave. at 55th st.
1899,californian
1900,cafe claude 415-392-3505
1901,1460 first ave.
1902,1 mission st.
1903,yama 212-475-0969
1904,123 w. 52nd st.
1905,mediterranean
1906,kamogawa 404/841-0314
1907,american
1908,bar anise 212/355-1112
1909,health food
1910,2332 clement st.
1911,american
1912,3799 las vegas blvd. s.
1913,seafood
1914,morton's of chicago (las vegas) 702-893-0703
1915,1402 n. highland ave.
1916,rib ranch 404/233-7644
1917,american
1918,1248 clairmont rd.
1919,ct 212/995-8500
1920,chinese
1921,3226 mission st.
1922,asian
1923,1900 broadway  between 63rd and 64th sts.
1924,3384 shallowford rd.  chamblee
1925,bertolini's 702/735-4663
1926,200 14th st. nw
1927,bill's place 415-221-5262
1928,asian
1929,vietnamese
1930,228 w. 52nd st.
1931,french
1932,hi-life restaurant and lounge 212/249-3600
1933,french
1934,2217 union st.
1935,la cumbre 415-863-8205
1936,greek and middle eastern
1937,251 e. 53rd st.
1938,asian
1939,joe allen 212/581-6464
1940,10516 w. pico blvd.
1941,asian
1942,3355 geary st.
1943,thep phanom 415-431-2526
1944,seafood
1945,le jardin 212/343-9599
1946,519 s. fairfax ave.
1947,mediterranean
1948,cafeterias
1949,ocean star 818-308-2128
1950,1065 1st ave.  at 58th st.
1951,r&g lounge 415/982-7877
1952,2635 w. olive ave.
1953,mexican
1954,italian
1955,sushi nozawa 818-508-7017
1956,145 w. 53rd st.
1957,san pietro 212/753-9015
1958,french bistro
1959,latin american
1960,russian
1961,toulouse 404-351-9533
1962,643 park ave. at 66th st.
1963,t salon 212/925-3700
1964,210 e. 46th st.
1965,181 peachtree st.
1966,continental
1967,206 206 e. 60th st.
1968,american place 212/684-2122
1969,continental
1970,5955 melrose ave.
1971,1737 post st.
1972,asian
1973,two two two 212/799-0400
1974,lulu restaurant-bis-cafe 415-495-5775
1975,122 e. 17th st.
1976,american (new)
1977,madame ching's 702-894-7111
1978,3300 peachtree rd.  grand hyatt
1979,barbecue
1980,bouterin 212/758-0323
1981,eclectic
1982,240 e. 58th st.
1983,asian
1984,854 seventh ave.
1985,ca'brea 213/938-2863
1986,3200 las vegas blvd. s.
1987,indian
1988,103 west 404-233-5993
1989,25 irby ave.
1990,tomtom 404/264-1163
1991,italian
1992,mexican
1993,thai
1994,chopstix 404-255-4868
1995,3570 las vegas blvd. s
1996,carnival world 702/252-7777
1997,2315 clement st.
1998,italian
1999,1340 1st ave. at 72nd st.
2000,coffee bar
2001,chinois on main 310-392-9025
2002,internet cafe 212/ 614-0747
2003,ralph's diner 702/732-6330
2004,515 valencia st.
2005,roosevelt tamale parlor 415-550-9213
2006,american
2007,326 w. 46th st.
2008,coffee bar
2009,lattanzi ristorante 212/315-0980
2010,400 waller st.
2011,caffe lure 212/473-2642
2012,pacific pan pacific hotel 415/929-2087
2013,25 cleveland pl.  near spring st.
2014,french
2015,lucky strike 212/941-0479
2016,145 n. atlantic blvd.
2017,mexican/latin american/spanish
2018,rubin's red hots 818-905-6515
2019,steakhouses
2020,631 b kearny st.
2021,italian
2022,stars cafe 415/861-4344
2023,11288 ventura blvd.
2024,italian
2025,18 e. 54th st.
2026,sofia fabulous pizza 212/734-2676
2027,yank sing 415/541-4949
2028,coffeehouses
2029,coffee shops
2030,903 n. la cienega blvd.
2031,143 mercer st. at prince st.
2032,american
2033,22 hawthorne st.
2034,triangolo 212/472-4488
2035,fleur de lys 415-673-7779
2036,french (classic)
2037,aureole 212-319-1660
2038,southern
2039,13 1st ave.  near 1st st.
2040,13 w. 54th st.
2041,xunta 212/614-0620
2042,222 w. 79th st.
2043,italian
2044,barney greengrass 310/777-5877
2045,3300 las vegas blvd. s.
2046,176 n. canon dr.
2047,diners
2048,spago (las vegas) 702-369-6300
2049,jo jo 212-223-5656
2050,cajun
2051,402 w. 44th st.
2052,103 w. paces ferry rd.
2053,cassis 404/365-8100
2054,clearwater cafe 818/356-0959
2055,10250 santa monica blvd.
2056,thai
2057,cafe sunflower 404-256-1675
2058,3393 peachtree rd.
2059,broiler 702/432-7777
2060,italian
2061,cucina di pesce 212-260-6800
2062,4279 roswell rd.
2063,il fornaio cucina italiana 310/550-8330
2064,arnie morton's of chicago 310-246-1501
2065,steakhouses
2066,house of chan 770-955-9444
2067,3700 w. flamingo rd.
2068,mandarin court 702/737-1234
2069,american
2070,asian
2071,82 e. 3rd st.  between 1st and 2nd aves.
2072,3000 las vegas blvd. s
2073,betelnut 415/929-8855
2074,2817 24th st.
2075,cafe pierre 212/940-8185
2076,tu lan 415-626-0927
2077,old san francisco
2078,361 w. 46th st.
2079,american
2080,le perigord 212/755-6244
2081,faz 415/362-0404
2082,169 sullivan st.  between houston and bleecker sts.
2083,steakhouses
2084,cendrillon asian grill & marimba bar 212/343-9012
2085,500 post st.
2086,mediterranean
2087,sanppo 415/346-3486
2088,59 grand st.  between wooster st. and w. broadway
2089,coffee bar
2090,15322 ventura blvd.
2091,8358 sunset blvd.
2092,american (new)
2093,docks 212/ 986-8080
2094,500 van ness ave.
2095,vertigo 415/433-7250
2096,italian
2097,asian
2098,middle eastern
2099,1022 madison ave.  near 79th st.
2100,427 battery st.
2101,american (new)
2102,baja fresh 805-498-4049
2103,spago (los angeles) 310-652-4025
2104,seafood
2105,345 e. 83rd st.
2106,asian
2107,victor's cafe 212/586-7714
2108,600 stockton st.
2109,southwestern
2110,diaghilev 310-854-1111
2111,felidia 212-758-1479
2112,noodle shops
2113,210 e. 58th st.
2114,3500 las vegas blvd. s.
2115,174 1st ave.  between 10th and 11th sts.
2116,american
2117,beesley's of buckhead 404/264-1334
2118,california pizza kitchen 310/275-1101
2119,3rd st.
2120,march 212-754-6272
2121,montien 212/421-4433
2122,asian
2123,57 w. 58th st.
2124,arcadia 212-223-2900
2125,5975 roswell rd.
2126,3300 peachtree rd.  grand hyatt
2127,american
2128,el cholo 213/734-2773
2129,holt bros. bar-b-q 770/242-3984
2130,4 fish 17300 pacific coast hwy. at sunset blvd.
2131,continental
2132,flying biscuit  the 404-687-8888
2133,4111 boulder hwy.
2134,seryna 212-980-9393
2135,american
2136,87 e. fourth st.
2137,156 second ave.
2138,jackson diner 718-672-1232
2139,414 n. beverly dr.
2140,mon kee seafood restaurant 213/628-6717
2141,2469 cobb pkwy.
2142,chinese
2143,1510 e. flamingo rd.
2144,viva mercado's 702/871-8826
2145,italian
2146,monsoon (ny) 212-580-8686
2147,asian
2148,seafood
2149,2030 union st.
2150,continental
2151,8 sixth st.
2152,capp's corner 415/989-2589
2153,2 e. 61st st.
2154,coffee bar
2155,caffe vivaldi 212/691-7538
2156,american
2157,405 e. 52nd st.
2158,american
2159,161 sutter st.
2160,french
2161,45 mercer st.  between broome and grand sts.
2162,harry denton's 415/882-1333
2163,701 stone canyon rd.
2164,mediterranean
2165,cupcake cafe 212/465-1530
2166,1702 post st.
2167,mexican
2168,633 3rd ave. at 40th st.
2169,caribbean
2170,felix 212/431-0021
2171,600 montgomery st.
2172,zarzuela 415/346-0800
2173,italian
2174,palm  the (atlanta) 404-814-1955
2175,american (new)
2176,pinot bistro 818-990-0500
2177,thai
2178,3345 kimber dr.
2179,bruno's 310-397-5703
2180,french (classic)
2181,french
2182,californian
2183,american
2184,52 236 w. 52nd st.
2185,italian
2186,1020 n. san vicente blvd.
2187,american (new)
2188,jan's family restaurant 213-651-2866
2189,le bernardin 212-489-1515
2190,match 212/906-9173
2191,hot dogs
2192,60 w. 55th st.
2193,260 e. paces ferry road
2194,eastern european
2195,colonnade restaurant 404/874-5642
2196,930 hilgard ave.
2197,pisces 212-260-6660
2198,southwestern
2199,1134 1st ave.   between 62nd and 63rd sts.
2200,osteria al droge 212/944-3643
2201,21 e. 62nd st.
2202,35 w. 64th st.
2203,diners
2204,edison cafe 212-840-5000
2205,6359 jimmy carter blvd.  at buford hwy.  norcross
2206,american
2207,8783 beverly blvd.
2208,jimmy's 310/552-2394
2209,1655 mclendon ave.
2210,american
2211,chin's 702-733-8899
2212,italian
2213,37-03 74th st.
2214,lemongrass grill 718-399-7100
2215,152 w. 44th st.
2216,continental
2217,steakhouses
2218,pinot hollywood 213/461-8800
2219,362 n. camden dr.
2220,french (new)
2221,6182 w. flamingo rd.
2222,mediterranean
2223,american
2224,435 amsterdam ave.
2225,peter luger steak house 718-387-7400
2226,1529 piedmont ave.
2227,italian
2228,tra di noi 310/456-0169
2229,chinese
2230,1600 powell st.
2231,american
2232,gaylord's 415/771-8822
2233,32 jones st. at bleecker st.
2234,french bistro
2235,161 steuart st.
2236,italian
2237,jack's 415/986-9854
2238,522 9th ave. at 39th st.
2239,thai
2240,emily's 212/996-1212
2241,american
2242,morton's of chicago (atlanta) 404-577-4366
2243,buffets
2244,locanda veneta 310-274-1893
2245,moose's 415/989-7800
2246,340 w. broadway at grand st.
2247,californian
2248,fleur de jour 212/355-2020
2249,2000 hyde st.
2250,asian
2251,3391 peachtree rd. ne
2252,delis
2253,van gogh's restaurant & bar 770-993-1156
2254,seafood
2255,golden unicorn 212/ 941-0911
2256,3838 centinela ave.
2257,seafood
2258,falafel king 310-208-4444
2259,coffee bar
2260,american
2261,8424 beverly blvd.
2262,american
2263,killer shrimp 818-508-1570
2264,american (new)
2265,160 mercer st.  between houston and prince sts.
2266,new york kom tang soot bul house 212/ 947-8482
2267,pacific new wave
2268,1879 cheshire bridge rd.
2269,east european
